datetime,data
26-03-2021 20:25:22,"0.0,0.03,0.01,0.02,0.12,0.02,0.0,0.01,25.1,3.2,0.38,0.01,15.04,35.47,2.47,0.06"
26-03-2021 20:25:27,"0.02,0.06,0.01,0.01,0.18,0.02,0.01,0.0,33.37,6.4,0.79,0.02,10.28,28.53,2.85,0.17"
26-03-2021 20:25:32,"0.02,0.04,0.01,0.02,0.04,0.03,0.0,0.0,21.02,2.45,0.56,0.01,15.76,47.13,3.02,0.2"
26-03-2021 20:25:36,"0.0,0.0,0.01,0.0,0.06,0.02,0.0,0.02,28.03,4.01,38.54,7.76,13.23,33.51,1035.95,98.87"
26-03-2021 20:25:40,"0.04,0.04,0.01,0.0,0.08,0.03,0.01,0.01,27.3,3.75,34.53,8.43,13.84,35.64,1222.17,106.45"
26-03-2021 20:25:44,"0.02,0.06,0.0,0.01,0.19,0.02,0.02,0.01,27.83,4.62,12.0,6.69,13.19,36.22,1190.7,112.27"
26-03-2021 20:25:49,"0.03,0.03,0.01,0.03,0.03,0.01,0.01,0.01,27.52,4.18,10.03,8.19,14.2,35.35,717.59,153.61"
26-03-2021 20:25:53,"0.01,0.0,0.0,0.02,0.13,0.02,0.02,0.01,28.56,5.45,31.3,12.36,12.18,36.54,4.2,167.33"
26-03-2021 20:25:57,"0.05,0.01,0.01,0.01,0.14,0.01,0.01,0.0,32.33,5.19,384.29,7.27,12.21,29.64,122.93,121.83"
26-03-2021 20:26:02,"0.05,0.03,0.01,0.05,9.12,18.46,0.01,0.01,48.23,0.04,807.76,8.1,0.3,0.01,30.25,34.52"
26-03-2021 20:26:06,"119.94,18.0,0.01,0.04,1.77,33.13,0.01,0.01,0.27,0.02,1209.01,2.79,0.15,0.06,429.32,23.09"
26-03-2021 20:26:10,"107.49,23.54,0.02,0.0,0.17,36.56,0.01,0.0,0.22,0.11,368.28,7.04,0.15,0.02,80.24,103.75"
26-03-2021 20:26:14,"99.02,16.81,0.01,0.03,17.51,48.29,0.01,0.01,0.22,0.07,431.4,6.62,0.16,0.11,155.33,107.45"
26-03-2021 20:26:19,"144.18,20.82,0.0,0.02,1.29,29.82,0.04,0.04,0.18,0.01,96.32,27.13,0.16,0.0,733.18,2.88"
26-03-2021 20:26:23,"88.34,31.76,0.01,0.04,0.23,38.25,0.05,0.05,0.18,0.05,60.23,23.16,0.18,0.01,1105.78,10.66"
26-03-2021 20:26:28,"83.17,27.01,0.0,0.06,4.04,49.12,0.03,0.02,0.17,0.12,58.1,47.39,0.19,0.14,539.37,17.42"
26-03-2021 20:26:32,"190.66,10.89,0.05,0.03,0.3,19.64,3.88,0.19,0.16,0.07,24.66,29.39,0.2,0.06,847.87,48.62"
26-03-2021 20:26:36,"179.01,2.74,0.06,0.02,0.24,0.06,7.27,0.31,0.2,0.03,3.46,38.15,35.31,3.75,3.88,9.29"
26-03-2021 20:26:41,"107.06,2.18,0.07,0.1,0.08,0.17,7.18,0.31,0.24,0.05,3.01,34.9,26.5,3.72,5.84,8.65"
26-03-2021 20:26:45,"248.56,1.77,0.06,0.16,0.05,0.11,7.38,0.3,0.21,0.11,2.65,38.26,13.73,0.74,6.93,13.08"
26-03-2021 20:26:50,"131.11,1.93,0.04,0.24,0.1,0.11,7.29,0.3,0.1,0.02,2.33,38.42,17.51,0.24,6.74,17.44"
26-03-2021 20:26:54,"151.81,1.75,0.03,0.28,0.01,0.1,10.48,0.3,0.19,0.07,2.26,37.33,35.96,0.25,6.64,10.46"
26-03-2021 20:26:58,"107.81,1.88,0.0,0.28,0.02,0.08,10.7,0.29,0.17,0.04,2.32,38.12,43.27,0.07,6.86,8.96"
26-03-2021 20:27:03,"252.16,1.68,0.0,0.19,0.2,0.05,12.09,0.29,0.16,0.08,2.21,36.83,30.57,0.15,6.9,9.0"
26-03-2021 20:27:07,"3.5,0.72,0.31,0.16,0.37,0.05,57.84,2.79,0.09,0.03,560.39,0.07,40.66,0.49,6.11,1.51"
26-03-2021 20:27:11,"1.32,0.01,13.55,27.65,0.2,0.06,36.77,0.3,1.17,0.02,410.5,0.03,45.61,0.23,6.4,1.32"
26-03-2021 20:27:16,"1.44,0.0,11.66,32.55,0.13,0.05,44.1,0.2,0.51,0.12,746.4,0.03,40.98,1.66,1.72,1.32"
26-03-2021 20:27:20,"1.45,0.01,10.01,25.16,0.06,0.07,45.29,0.77,0.97,0.05,520.93,0.01,49.76,0.56,4.4,1.19"
26-03-2021 20:27:24,"1.42,0.01,9.54,27.52,0.15,0.07,54.06,4.47,15.46,0.96,664.39,0.01,13.38,1.56,2.27,1.19"
26-03-2021 20:27:29,"1.45,0.01,8.34,11.11,0.04,0.05,60.28,4.67,18.84,3.37,732.68,0.02,8.41,3.24,20.84,1.21"
26-03-2021 20:27:33,"1.47,0.02,8.62,12.65,0.22,0.07,56.71,3.63,25.1,3.4,623.89,0.01,5.31,2.03,5.35,1.15"
26-03-2021 20:27:37,"1.49,0.03,11.43,51.35,0.05,0.06,45.29,5.55,54.21,6.02,120.19,0.43,6.81,1.47,3.57,1.07"
26-03-2021 20:27:42,"1.88,0.1,9.78,20.19,0.09,34.72,47.31,1.57,19.88,1.17,2.27,0.02,0.02,0.49,3.54,1.06"
26-03-2021 20:27:46,"1.59,0.13,9.02,20.62,0.32,42.47,58.71,6.28,13.8,0.94,1.93,0.0,0.09,0.47,3.78,1.13"
26-03-2021 20:27:51,"1.89,0.11,2.61,4.45,0.07,39.1,82.33,17.75,15.79,4.51,1.83,0.0,0.39,0.5,3.82,1.14"
26-03-2021 20:27:55,"111.96,8.67,0.42,3.62,17.32,39.11,4.55,47.13,0.22,0.13,48.98,3.83,0.26,0.72,406.7,23.62"
26-03-2021 20:27:59,"78.81,16.17,0.21,0.09,0.04,39.33,0.53,0.09,0.15,0.18,6.66,0.06,0.22,0.82,14.93,0.97"
26-03-2021 20:28:03,"97.11,14.55,0.11,0.01,1.76,44.47,0.07,0.1,0.13,0.16,5.22,0.02,0.21,0.83,14.65,1.05"
26-03-2021 20:28:08,"97.63,16.82,0.16,0.02,0.13,36.56,0.39,0.08,0.1,0.11,4.26,0.04,0.21,0.85,13.26,1.04"
26-03-2021 20:28:12,"105.0,6.96,0.1,0.02,28.87,53.99,0.11,1.24,0.08,0.1,3.68,0.05,0.22,0.87,11.46,1.13"
26-03-2021 20:28:16,"200.38,4.4,0.11,0.0,16.78,23.93,0.1,0.02,0.06,0.16,3.44,0.05,0.21,0.82,11.06,1.16"
26-03-2021 20:28:21,"127.16,0.52,0.02,0.06,0.37,0.04,25.26,0.13,0.06,0.13,3.21,0.04,0.2,0.82,11.12,1.16"
26-03-2021 20:28:25,"145.98,1.07,0.06,0.06,1.83,0.2,23.59,0.29,0.04,0.1,2.93,0.03,0.21,0.8,10.78,1.16"
26-03-2021 20:28:29,"132.8,1.23,0.04,0.01,4.02,0.18,22.53,0.29,0.01,0.13,3.04,0.04,0.2,0.89,10.35,1.16"
26-03-2021 20:28:34,"58.24,0.07,0.32,0.03,6.33,0.15,51.58,3.18,0.0,0.08,2.92,0.04,0.2,0.91,10.15,1.09"
26-03-2021 20:28:39,"141.98,0.43,0.01,0.02,10.92,0.17,24.54,0.16,0.01,0.14,2.89,0.02,0.21,0.84,10.33,1.08"
26-03-2021 20:28:43,"145.53,0.42,0.02,0.03,12.08,0.16,28.14,0.55,0.02,0.17,3.1,0.03,0.21,0.99,9.85,1.13"
26-03-2021 20:28:48,"1.24,35.73,0.01,0.0,0.04,3.6,40.96,1.47,0.02,0.21,3.05,0.03,0.21,0.94,9.51,1.21"
26-03-2021 20:28:52,"3.55,53.4,0.03,0.07,0.01,6.95,29.64,0.26,0.03,0.16,3.19,0.02,0.21,0.9,9.52,1.13"
26-03-2021 20:28:56,"2.92,48.21,0.05,0.1,0.07,5.9,32.46,0.52,0.03,0.18,3.13,0.02,0.22,0.95,9.59,1.06"
26-03-2021 20:29:01,"3.31,49.98,0.02,0.14,0.12,5.86,33.64,1.02,0.04,0.17,3.13,0.04,0.2,0.87,9.8,1.12"
